Country,Code,Strategy,Item,Cost_Original,Currency,Conversion,Cost_USD,NAP_Language
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Évaluer les bases de données nationales actuelles utilisées pour le suivi des informations sur le secteur d’EMAPE et identifier les lacunes dans le suivi des indicateurs.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Faire un plaidoyer pour l’harmonisation du commerce de l’or et des politiques de contrôle avec les pays voisins et encourager une mise en œuvre cohérente des politiques.,1'000.00,USD,1,1000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Fournir des informations sur le marché et apporter un soutien commercial aux structures minières.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Identifier les acteurs-clés et élaborer un programme d’information et de sensibilisation sur le cadre réglementaire de l’EMAPE à partir d’une évaluation des besoins.,30'000.00,USD,1,30000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Identifier les groupes miniers formels susceptibles d’être des candidats à la certification ou à l’application d’un standard Or responsable.,1'000.00,USD,1,1000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Identifier les lacunes réglementaires et élaborer des recommandations pour améliorer la transparence dans les chaînes d’approvisionnement et encourager les ventes d’or légales.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,"Informer et sensibiliser les artisans miniers sur l’importance et le fonctionnement d’une coopérative, d’une société, d’un GIE, d’une entreprise et d’autres structures commerciales minières.",50'000.00,USD,1,50000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,"Mener une étude au niveau national pour décrire l’état quantitatif et qualitatif de l’EMAPE et collecter des indicateurs d’importance nationale sur le secteur en 2023, 2026 et 2029.",90'000.00,USD,1,90000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Mettre en œuvre la stratégie avec une coopération intersectorielle.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Organiser des campagnes de délivrance des cartes d’artisans miniers.,80'000.00,USD,1,80000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Organiser une formation sur la diligence raisonnable de l’OCDE dans les chaînes d’approvisionnement en or pour les principaux acteurs en amont et en aval.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Suivre les recommandations du point 3.2.2,10'000.00,USD,1,10000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,"Travailler avec les acteurs pour garantir le respect des standards de production, d’administration et de commercialisation.",20'000.00,USD,1,20000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Utiliser les recommandations multipartites élaborées dans le cadre du Forum national sur l’artisanat minier de 2018 pour formuler une stratégie globale visant à garantir une plus grande formalisation du secteur de l’EMAPE.,50'000.00,USD,1,50000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,Vulgariser l’article 13 de la loi n° 028-2017/AN du 18 mai 2017.,40'000.00,USD,1,40000.00,FR
Burkina Faso,Formalization,Formalisation du secteur de l’EMAPE d’or,"Vulgariser l’article 14 de la loi n° 028-2017/AN du 18 mai 2017, portant création d’un guichet unique pour la délivrance des documents aux artisans miniers.",40'000.00,USD,1,40000.00,FR
Burkina Faso,Market-based Mechanisms,Incitations financières pour la réduction du mercure,Analyser le circuit de vente d’or légal et illégal.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Market-based Mechanisms,Incitations financières pour la réduction du mercure,Documenter les modèles commerciaux basés sur la production pilote d’or sans mercure au Burkina Faso à l’intention des investisseurs internationaux.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Market-based Mechanisms,Incitations financières pour la réduction du mercure,Échanger des informations dans le cadre des efforts mondiaux visant à identifier et à établir des opportunités d’investissement dans la production et la commercialisation d’or sans mercure.,4'000.00,USD,1,4000.00,FR
Burkina Faso,Market-based Mechanisms,Incitations financières pour la réduction du mercure,Fixer un prix de l’or produit sans mercure.,4'000.00,USD,1,4000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Adopter une réglementation spécifique sur la commercialisation et l’utilisation du mercure.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Analyser les lacunes du cadre réglementaire de l’EMAPE sur la commercialisation du mercure.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Analyser les politiques nationales en matière de manipulation et de stockage du mercure saisi par les agents des douanes et autres autorités.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Concevoir des modules de formation sur l’identification des stocks de mercure et sur le cadre réglementaire de la commercialisation du mercure.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Harmoniser le commerce du mercure et les politiques de suivi et de contrôle avec les pays voisins par le biais des espaces politiques et économiques existants tels que la CEDEAO.,2'000.00,USD,1,2000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Identifier les options pour le stockage en toute sécurité du mercure saisi par les agents des douanes et autres autorités,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Organiser des sessions de formation pour les artisans miniers.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Mercury Trade Control,Commerce du mercure.,Vulgariser la réglementation spécifique sur la commercialisation et l’utilisation du mercure.,50'000.00,USD,1,50000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques","Accompagner les artisans miniers pour la création de 3 zones (extraction, traitements/vente et logements/activités diverses) sur les sites d’EMAPE d’or.",50'000.00,USD,1,50000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Acquérir et installer des équipements de traitement d’or sans mercure.,500'000.00,USD,1,500000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Concevoir les modules de formation.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Définir les critères de sélection des candidats bénéficiaires des fonds d’équipement.,4'000.00,USD,1,4000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Développer un programme de sensibilisation itinérant pour informer et sensibiliser les artisans miniers sur les technologies alternatives au mercure.,80'000.00,USD,1,80000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques","Élaborer des lignes directrices pour une gestion responsable des résidus, y compris la séparation des résidus contaminés par le mercure pendant le processus de cyanuration.",20'000.00,USD,1,20000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Élaborer un programme de formation professionnelle qui se concentre sur l›application de technologies et de techniques sans mercure dans le cadre de modèles commerciaux responsables.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Établir les règles et procédures du mécanisme de financement et prévoir un comité de sélection des bénéficiaires des fonds.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Former à l’identification et au montage d’un plan d’affaires et fournir une assistance à la recherche de financement.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Former les artisans miniers.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Former les institutions financières sur l’activité de l’EMAPE.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques","Former les opérateurs, établir des accords pour l’approvisionnement en minerai et exploiter le centre de traitement d’or sans mercure.",100'000.00,USD,1,100000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Identifier et sélectionner 6 sites d’EMAPE pour la mise en place de sites pilotes de traitement utilisant des techniques sans mercure.,18'000.00,USD,1,18000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Identifier et sélectionner un consultant et un établissement de formation professionnelle appropriés.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Identifier les options de technologies alternatives au mercure en testant la viabilité technique et économique de ces technologies grâce au fonctionnement de 6 centres de traitement sans mercure.,10'000.00,USD,1,10000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Identifier les sites où la probabilité d’utilisation de cyanure est élevée par le biais d’inventaires périodiques du secteur au niveau national.,60'000.00,USD,1,60000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Identifier un mécanisme de répartition financière approprié et un possible administrateur du mécanisme de financement.,1'000.00,USD,1,1000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Mener des activités de sensibilisation et de soutien technique sur place avec les gestionnaires de centres de traitement et les propriétaires de sites.,40'000.00,USD,1,40000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Organiser des sessions de formation pour les artisans miniers en réservant un quota de 30 % aux femmes et aux jeunes.,60'000.00,USD,1,60000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Organiser des sessions de formation sur les fonctionnalités du mécanisme de financement en réservant un quota de 30 % aux femmes et aux jeunes.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Valider et rendre opérationnel le programme de formation.,30'000.00,USD,1,30000.00,FR
Burkina Faso,Mining Practice Reform,"Réduction des émissions et des rejets de mercure, de l’exposition au mercure et élimination des pires pratiques",Vulgariser l’article 21 du décret 2018-1017 relatif à la délimitation des zones d’activités sur les sites EMAPE.,20'000.00,USD,1,20000.00,FR
Burkina Faso,NAP Management,Implication des parties prenantes dans la mise en œuvre et l’amélioration continue du plan d’action national,Élaboration d’un rapport de suivi annuel évaluant la mise en œuvre du PAN.,10'000.00,USD,1,10000.00,FR
Burkina Faso,NAP Management,Implication des parties prenantes dans la mise en œuvre et l’amélioration continue du plan d’action national,Mise à disposition des décideurs politiques d’une expertise sur les priorités liées à l’EMAPE d’or pour l’intégration de ces priorités dans les documents de planification nationale et sectorielle.,4'000.00,USD,1,4000.00,FR
Burkina Faso,NAP Management,Implication des parties prenantes dans la mise en œuvre et l’amélioration continue du plan d’action national,Tenue de sessions annuelles du cadre de concertation,40'000.00,USD,1,40000.00,FR
Burkina Faso,NAP Management,Implication des parties prenantes dans la mise en œuvre et l’amélioration continue du plan d’action national,Tenue de sessions de travail sur le PAN avec les différents acteurs.,6'000.00,USD,1,6000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.","Acquérir 3 autocars médicalisés tropicalisés, destinés à la stratégie avancée sur les sites EMAPE d’or.",120'000.00,USD,1,120000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.","Assurer la maintenance préventive et curative des équipements, du matériel médicotechnique, des fournitures sanitaires et des moyens logistiques.",50'000.00,USD,1,50000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Collecter régulièrement des données sur la situation sanitaire des mineurs du secteur de l’EMAPE d’or.,200'000.00,USD,1,200000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Diffuser les résultats des recherches.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Élaborer et publier des directives pour le diagnostic et la prise en charge des intoxications au mercure par les agents de santé. Publier un manuel sur les problèmes de santé liés à l’EMAPE d’or.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Financer 3 protocoles de recherche sur les effets de l’utilisation du mercure dans les sites EMAPE sur la santé des artisans miniers et des communautés minières.,60'000.00,USD,1,60000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Former des relais communautaires au sein des communautés minières et dans les villages environnants sur les enjeux sanitaires de l’EMAPE.,250'000.00,USD,1,250000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Mettre en place des répondants communautaires sur les sites d’EMAPE d’or.,50'000.00,USD,1,50000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Organiser des consultations ambulatoires.,150'000.00,USD,1,150000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Organiser des sessions de formation pour les agents de santé sur la collecte de données relatives à l’intoxication au mercure.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Organiser des sessions de formation sur le diagnostic et la prise en charge des intoxications au mercure pour le personnel des centres de santé.,400'000.00,USD,1,400000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Organiser un séminaire national d’information et de plaidoyer destiné aux décideurs en matière de santé dans l’EMAPE d’or.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Organiser un voyage d’étude pour partager avec d’autres pays l’expérience acquise en matière de prise en charge des risques liés à l’utilisation du mercure.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Renforcer la capacité de diagnostic et de surveillance du système de santé par l’installation de dispositifs de détection du mercure dans l’un des laboratoires de référence du pays.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Renforcer les capacités techniques et opérationnelles des structures.,270'000.00,USD,1,270000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.","Renforcer les formations sanitaires en équipements, matériel médicotechnique, fournitures sanitaires et moyens logistiques.",250'000.00,USD,1,250000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Renforcer les stocks de médicaments essentiels génériques (MEG) dans toutes les formations sanitaires situées autour des sites.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Protecting Vulnerable Populations,"Santé des populations vulnérables, des artisans miniers et de leurs communautés face à l’exposition au mercure.",Subventionner le coût des consultations et des médicaments sur les sites d’EMAPE.,50'000.00,USD,1,50000.00,FR
Burkina Faso,Public Health,Prévention de l’exposition des populations vulnérables au mercure utilisé dans l’EMAPE.,Concevoir et mettre en œuvre une campagne multimédia de sensibilisation aux risques liés au mercure.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Public Health,Prévention de l’exposition des populations vulnérables au mercure utilisé dans l’EMAPE.,Développer des outils de communication pour les femmes et les jeunes en collaboration avec les organisations de femmes.,20'000.00,USD,1,20000.00,FR
Burkina Faso,Public Health,Prévention de l’exposition des populations vulnérables au mercure utilisé dans l’EMAPE.,Élaborer et diffuser des fiches pédagogiques sur la question du mercure dans l’EMAPE d’or.,40'000.00,USD,1,40000.00,FR
Burkina Faso,Public Health,Prévention de l’exposition des populations vulnérables au mercure utilisé dans l’EMAPE.,Informer et sensibiliser les populations vulnérables sur les dangers de l’exposition au mercure.,100'000.00,USD,1,100000.00,FR
Burkina Faso,Public Health,Prévention de l’exposition des populations vulnérables au mercure utilisé dans l’EMAPE.,Œuvrer avec le ministère du Travail et de la Protection sociale pour que les zones EMAPE soient des points focaux prioritaires pour la mise en œuvre d’instruments de planification tels que le programme national de lutte contre le travail des enfants.,10'000.00,USD,1,10000.00,FR
Burundi,Education and Awareness,"I: Objectifs spécifiques et actions relatifs aux stratégies pour informer les mineurs travaillant dans l’EAPO, conformément au Point 1 (g) de l’annexe C de la Convention de Minamata.",Identifier les thèmes,10'000.00,USD,1,10000.00,FR
Burundi,Education and Awareness,"I: Objectifs spécifiques et actions relatifs aux stratégies pour informer les mineurs travaillant dans l’EAPO, conformément au Point 1 (g) de l’annexe C de la Convention de Minamata.","Identifier, évaluer et mettre en contexte structuré les messages, outils de communication et de sensibilisation à l’endroit des coopératives des mineurs et la population environnante.",0.00,USD,1,0.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Actualiser le Code minier pour définir clairement ce qu’on entend par exploitation de l’or et à petite échelle, les différentes tailles d’exploitation, les droits et obligations y afférents mais également y insérer des clauses interdisant l’usage du mercure et d’autres produits dangereux tels le cyanure, les explosifs, etc. lors de l’exploitation minière.",60'000.00,USD,1,60000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Conduire une évaluation socio-économique plus exhaustive pour comprendre l’ordre social et pour comprendre comment les mineurs sont organisés.,30'000.00,USD,1,30000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Doter aux services d ́inspection minière d ́un matériel capable de déceler l ́utilisation du mercure.,80'000.00,USD,1,80000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Doter de matériel informatique à chaque site afin de remplir des fichiers statistiques sur toutes les données du site (production, accidents, matériels utilisés, vente, etB..). Cela permettrait d ́avoir des données en temps réel et un échange de données par voie électronique.",80'000.00,USD,1,80000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Doter de moyens de locomotion (véhicules, motos) aux inspecteurs des mines (au niveau national, provincial et communal) pour la bonne marche du suivi, dans les délais, des activités minières d ́EAPO.",150'000.00,USD,1,150000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Doter l’Inspection Générale du Travail de moyens financiers, humains et matériels pour faire respecter la législation en matière du travail dans les EAPO",50'000.00,USD,1,50000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Doter l’OBM de moyens financiers, humains et matériels pour l’encadrement des exploitations artisanales minières",350'000.00,USD,1,350000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Doter l’OBPE de moyens financiers, humains et matériels pour le suivi des plans de gestion environnemental et social (PGES) dans le cadre des EAPO",110'000.00,USD,1,110000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Elaborer un texte d ́application notamment une ordonnance relative à la revue des taxées payées par les exploitants miniers.,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Faire adopter le projet d ́ici 2023,10'000.00,USD,1,10000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Former les artisans miniers sur des techniques d’extraction sans mercure avec des rendements améliorés,120'000.00,USD,1,120000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Former les coopératives minières à la recherche des financements de leurs activités minières.,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.","Impliquer fortement l’administration locale, l’OBM dans le processus de formalisation du secteur de l’exploitation de l’or et à petite échelle",10'000.00,USD,1,10000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Instaurer dans la loi minière un système de fiche de production journalière pour le suivi de la traçabilité de l’or exploité au Burundi,10'000.00,USD,1,10000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Mettre en place des services de l’OBM dans les provinces concernées l’EAPO,40'000.00,USD,1,40000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Munir les inspecteurs miniers de pouvoir suffisant pour exercer des coercitions sur les délinquants qui ne respecteront pas les consignes et engagements pris lors de l ́obtention du permis d ́exploitation.,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Organiser des ateliers de sensibilisation et de formation des exploitants miniers artisanaux (5) travaillant illégalement pour travailler dans les coopératives et être payés périodiquement.,50'000.00,USD,1,50000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Organiser des campagnes de lutte contre l’exploitation illégale de l’or,10'000.00,USD,1,10000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Revoir la taxe payée par les exploitants miniers en fonction de la superficie d’exploitation concédée.,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Revoir les délais accordés pour une exploitation minière artisanale pour inciter les exploitants illégaux à travailler dans le formel,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Traduire en kirundi les documents administratifs exigés pour constituer une coopérative minière,5'000.00,USD,1,5000.00,FR
Burundi,Formalization,"A : Objectifs spécifiques et actions en rapport avec le cadre juridique et institutionnel, conformément au point 1 de l ́annexe C de la Convention de Minamata.",Vulgariser et appliquer l ́Ordonnance Ministérielle N°760/214/1/3/011 portant procédure de certification des substances minérales en République du Burundi,5'000.00,USD,1,5000.00,FR
Burundi,Market-based Mechanisms,"J: Objectifs spécifiques et actions liés aux stratégies supplémentaires incluant des mécanismes basés sur le marché, conformément au point 2 de l'annexe C de la Convention de Minamata.",Mettre en place un système d’homologation des procédés d’extraction et de traitement d’or artisanal sans mercure et définir les procédures,10'000.00,USD,1,10000.00,FR
Burundi,Market-based Mechanisms,"J: Objectifs spécifiques et actions liés aux stratégies supplémentaires incluant des mécanismes basés sur le marché, conformément au point 2 de l'annexe C de la Convention de Minamata.",Organiser des ateliers de formation et de sensibilisation sur les risques et dangers d ́utilisation du mercure dans l ́orfèvrerie,12'000.00,USD,1,12000.00,FR
Burundi,Market-based Mechanisms,"J: Objectifs spécifiques et actions liés aux stratégies supplémentaires incluant des mécanismes basés sur le marché, conformément au point 2 de l'annexe C de la Convention de Minamata.",Organiser des ateliers de formation et de sensibilisation sur les risques et dangers d ́utilisation du mercure.,12'000.00,USD,1,12000.00,FR
Burundi,Mercury Trade Control,"G : Objectifs spécifiques et actions visant à gérer les échanges commerciaux et à empêcher le détournement de mercure, conformément au point 1f de l ́annexe c de la Convention de Minamata.",Élaborer et mettre en œuvre des procédures de suivi des comptoirs de l’or par l ́OBM.,10'000.00,USD,1,10000.00,FR
